1879972	Affirm
1879951	Affirm
1360525	Affirm
1360550	Reverse
1360455	Affirm
1360511	Reverse
1360492	Affirm
1360547	Affirm
1360553	Reverse
1360495	Affirm
1360478	Affirm
1360493	Reverse
1360514	Affirm
1360498	Affirm
1360522	Affirm
7319990	Affirm
1360486	Affirm
1360546	Affirm
1360515	Reverse
1360474	Affirm
1385606	Affirm
7323101	Reverse
7323006	Reverse
1691744	Reverse
1691655	Affirm
1691649	Affirm
1691751	Affirm
1691599	Affirm
1691719	Affirm
1691698	Affirm
1691685	Affirm
1691755	Affirm
1691740	Affirm
1691684	Affirm
1691761	Reverse
1691604	Reverse
1691661	Affirm
1691708	Reverse
1691757	Affirm
1691591	Affirm
1691700	Reverse
1691616	Affirm
1488322	Affirm
1488306	Affirm
1488308	Affirm
1488225	Reverse
1488135	Reverse
1524414	Reverse
1524494	Reverse
1524343	Affirm
1524520	Affirm
1524369	Affirm
1524372	Reverse
1524364	Affirm
1524474	Affirm
1524370	Reverse
1524361	Affirm
1524356	Affirm
1524360	Reverse
1524431	Reverse
1464530	Affirm
1464500	Affirm
1464455	Affirm
1464648	Reverse
1464589	Affirm
1464454	Reverse
1470250	Affirm
1470193	Reverse
1470459	Affirm
1470189	Affirm
1470249	Affirm
1470349	Affirm
1470302	Affirm
1470314	Reverse
1470247	Affirm
1470267	Affirm
1470190	Affirm
1470371	Affirm
1470312	Affirm
1470466	Reverse
8719937	Affirm
8725767	Reverse
8724351	Affirm
8721333	Affirm
8724241	Reverse
8724427	Reverse
8725926	Affirm
8725119	Affirm
8718253	Affirm
8724295	Reverse
8726221	Reverse
8721279	Affirm
8721000	Affirm
8720956	Affirm
8721406	Affirm
8718964	Affirm
8724320	Affirm
8718047	Affirm
8720653	Affirm
8724482	Affirm
8717763	Affirm
8724773	Reverse
8724513	Affirm
8723518	Reverse
8722711	Reverse
8725743	Affirm
8722556	Affirm
8725011	Reverse
8724609	Affirm
8726001	Reverse
8722651	Affirm
8724446	Affirm
8726068	Affirm
8724649	Reverse
8722757	Reverse
8718118	Affirm
8718409	Reverse
8723849	Affirm
8718332	Affirm
8725147	Affirm
8723307	Reverse
8719111	Reverse
8721003	Affirm
8717980	Affirm
1546840	Reverse
1546904	Affirm
1464460	Affirm
1464441	Affirm
1464532	Affirm
1464553	Affirm
1464581	Affirm
1464551	Affirm
1464726	Affirm
1464716	Affirm
1464621	Reverse
1464595	Affirm
1464483	Affirm
1464640	Affirm
1464561	Affirm
1464446	Affirm
1464534	Affirm
1464673	Affirm
1464437	Reverse
1464495	Affirm
1464728	Affirm
1691677	Affirm
1675907	Affirm
1675817	Affirm
1675918	Affirm
1675849	Affirm
1675845	Affirm
1675835	Affirm
1675891	Affirm
1675887	Affirm
1675842	Affirm
1675922	Affirm
1675861	Affirm
1675913	Affirm
1675833	Affirm
1675826	Affirm
1675973	Affirm
1675947	Reverse
1675964	Affirm
1675936	Affirm
1675969	Affirm
1675926	Affirm
1616719	Affirm
1616683	Affirm
1616817	Reverse
1616758	Reverse
1616801	Reverse
1616783	Affirm
1616795	Affirm
8720500	Reverse
1385526	Affirm
1385542	Reverse
1385529	Reverse
1385551	Reverse
1385572	Affirm
1385514	Affirm
1385577	Affirm
8720907	Affirm
8721541	Affirm
8720834	Affirm
8720331	Reverse
8724120	Affirm
8719614	Affirm
8720954	Affirm
8723373	Affirm
8720007	Affirm
8724002	Affirm
8722981	Affirm
8721424	Affirm
8720590	Affirm
8719670	Affirm
8721052	Reverse
1872613	Reverse
1361176	Affirm
