11272108	Affirm
11273534	Affirm
11272694	Affirm
11272573	Affirm
11274033	Affirm
11273809	Affirm
11271759	Affirm
11273226	Reverse
11273772	Affirm
11273646	Affirm
11271944	Affirm
11273066	Affirm
11270662	Affirm
11271885	Reverse
11273264	Affirm
11273203	Affirm
11274241	Affirm
11274015	Affirm
11270968	Reverse
11271035	Reverse
11271259	Affirm
11271961	Affirm
11270835	Affirm
11271377	Affirm
11272440	Affirm
11271053	Reverse
11273901	Affirm
11271848	Affirm
11271870	Affirm
11272869	Affirm
11272064	Affirm
11271747	Affirm
11272267	Affirm
11270915	Affirm
11273316	Affirm
11273138	Affirm
11272222	Affirm
11273050	Affirm
11273374	Affirm
11274334	Reverse
11272625	Affirm
11270693	Reverse
11273433	Affirm
11272339	Reverse
11271789	Affirm
11271403	Affirm
11272202	Affirm
11271638	Affirm
11270644	Affirm
11273453	Affirm
11272354	Affirm
11273679	Affirm
11274285	Affirm
11272136	Affirm
11274196	Reverse
11272048	Affirm
11272230	Affirm
11270603	Affirm
11273743	Affirm
11273878	Affirm
11273246	Affirm
11272808	Affirm
11273327	Reverse
11270782	Affirm
11271659	Affirm
11272496	Reverse
11272295	Affirm
11273034	Reverse
11271710	Affirm
11273661	Affirm
11272013	Affirm
11271904	Affirm
11270640	Affirm
11270259	Affirm
11271643	Affirm
11270009	Affirm
11270098	Affirm
11270434	Affirm
11270598	Affirm
11271062	Affirm
11272271	Affirm
11272293	Affirm
11271973	Affirm
11270452	Affirm
11271520	Reverse
11271083	Reverse
11271546	Affirm
11270702	Affirm
11271029	Affirm
11270550	Reverse
11272148	Affirm
11270239	Affirm
11272242	Affirm
11271407	Reverse
11269913	Affirm
11271851	Affirm
11272320	Affirm
11270565	Affirm
11270186	Affirm
11272283	Affirm
11270925	Affirm
11272572	Affirm
11271430	Affirm
11270481	Affirm
11270733	Affirm
11271790	Affirm
11272220	Affirm
11269925	Reverse
11271804	Affirm
11272437	Affirm
11270623	Affirm
11270086	Reverse
11272196	Affirm
11270131	Affirm
11272527	Affirm
11272006	Reverse
11271167	Affirm
11272179	Affirm
11270110	Affirm
11272453	Affirm
11271465	Reverse
11270867	Affirm
11272074	Reverse
11271210	Affirm
11270946	Reverse
11270281	Affirm
11271867	Affirm
11270069	Affirm
11270889	Reverse
11272488	Affirm
11271955	Reverse
11271694	Affirm
11271142	Affirm
11270220	Affirm
11271007	Affirm
11272305	Affirm
11269992	Affirm
11271751	Affirm
11272232	Affirm
11272393	Affirm
11271365	Affirm
11272208	Affirm
11271940	Affirm
11272060	Reverse
11271047	Affirm
11270050	Reverse
11272256	Affirm
11271892	Affirm
11270403	Affirm
11270335	Affirm
11271672	Affirm
11272026	Reverse
11271869	Affirm
11271141	Affirm
11270252	Affirm
11270648	Affirm
11271043	Affirm
11270151	Affirm
11271576	Affirm
11271655	Reverse
11271775	Affirm
11272111	Reverse
11270460	Affirm
11270632	Affirm
11270916	Affirm
11271935	Reverse
11270981	Reverse
11271012	Affirm
11272029	Affirm
11270194	Reverse
11272323	Affirm
11270490	Reverse
11271795	Affirm
11270383	Affirm
11271345	Reverse
11271856	Affirm
11271708	Affirm
11271361	Affirm
11271675	Affirm
11272083	Affirm
11270029	Affirm
11270720	Affirm
11271756	Reverse
11272054	Reverse
11270109	Reverse
11271405	Affirm
11270755	Reverse
11270602	Affirm
11271442	Affirm
11271322	Affirm
11272181	Affirm
11270178	Affirm
11269980	Affirm
11272195	Affirm
11271106	Affirm
11271209	Affirm
11271588	Reverse
11270666	Affirm
11270417	Affirm
11271969	Affirm
11271844	Affirm
11270016	Affirm
11270826	Affirm
11270350	Affirm
11269996	Affirm
11271831	Affirm
11270566	Reverse
11271292	Affirm
11270078	Affirm
11270781	Affirm
11270266	Affirm
11271637	Affirm
11252814	Affirm
11254841	Affirm
11254202	Affirm
11253902	Reverse
11254347	Affirm
11255017	Affirm
11252294	Affirm
11255751	Affirm
11254224	Affirm
11255967	Affirm
11255542	Affirm
11252271	Affirm
11253693	Affirm
